名前,緯度,経度,説明
DJI_0091.JPG,36.05989708333333,139.47947927777778,"撮影日時：2024:11:26 12:54:46
撮影順：1"
DJI_0092.JPG,36.059904055555556,139.4794701388889,"撮影日時：2024:11:26 12:54:58
撮影順：2"
DJI_0093.JPG,36.05990436111111,139.47946941666666,"撮影日時：2024:11:26 12:55:02
撮影順：3"
DJI_0094.JPG,36.05990522222222,139.47947044444444,"撮影日時：2024:11:26 12:55:10
撮影順：4"
DJI_0095.JPG,36.060032138888886,139.47909780555557,"撮影日時：2024:11:26 12:55:25
撮影順：5"
DJI_0096.JPG,36.05980908333333,139.47961575,"撮影日時：2024:11:26 12:55:40
撮影順：6"
DJI_0097.JPG,36.059797499999995,139.47963475,"撮影日時：2024:11:26 12:55:45
撮影順：7"
DJI_0098.JPG,36.05995986111111,139.47941302777778,"撮影日時：2024:11:26 12:56:02
撮影順：8"
DJI_0099.JPG,36.060350666666665,139.47962747222223,"撮影日時：2024:11:26 12:56:15
撮影順：9"
DJI_0100.JPG,36.06027619444444,139.47859269444444,"撮影日時：2024:11:26 12:56:36
撮影順：10"
DJI_0101.JPG,36.05964313888889,139.47969808333335,"撮影日時：2024:11:26 12:57:16
撮影順：11"
DJI_0102.JPG,36.05964536111111,139.47969750000001,"撮影日時：2024:11:26 12:57:43
撮影順：12"
DJI_0103.JPG,36.05983280555555,139.47986133333333,"撮影日時：2024:11:26 12:58:17
撮影順：13"
DJI_0104.JPG,36.05980980555555,139.47949136111112,"撮影日時：2024:11:26 12:59:21
撮影順：14"
DJI_0105.JPG,36.059771749999996,139.47927972222223,"撮影日時：2024:11:26 12:59:33
撮影順：15"
DJI_0106.JPG,36.05990488888889,139.4793513611111,"撮影日時：2024:11:26 12:59:52
撮影順：16"
DJI_0107.JPG,36.05990519444444,139.47935033333334,"撮影日時：2024:11:26 12:59:56
撮影順：17"
DJI_0108.JPG,36.05990577777777,139.47934941666668,"撮影日時：2024:11:26 12:59:58
撮影順：18"
DJI_0109.JPG,36.05969483333333,139.47967533333335,"撮影日時：2024:11:26 13:00:10
撮影順：19"
DJI_0110.JPG,36.06003372222222,139.479248,"撮影日時：2024:11:26 13:00:49
撮影順：20"
DJI_0111.JPG,36.060373194444445,139.4788922777778,"撮影日時：2024:11:26 13:01:12
撮影順：21"
DJI_0112.JPG,36.06035541666667,139.47890858333332,"撮影日時：2024:11:26 13:01:25
撮影順：22"
DJI_0113.JPG,36.06030616666666,139.47893761111112,"撮影日時：2024:11:26 13:01:41
撮影順：23"
DJI_0114.JPG,36.06012666666666,139.47908927777777,"撮影日時：2024:11:26 13:02:04
撮影順：24"
DJI_0115.JPG,36.06006358333333,139.47912825,"撮影日時：2024:11:26 13:02:16
撮影順：25"
DJI_0116.JPG,36.06006305555555,139.47912350000001,"撮影日時：2024:11:26 13:02:31
撮影順：26"
DJI_0117.JPG,36.06006347222222,139.47912305555556,"撮影日時：2024:11:26 13:02:34
撮影順：27"
DJI_0118.JPG,36.060136138888886,139.47921975,"撮影日時：2024:11:26 13:02:51
撮影順：28"
DJI_0119.JPG,36.060231916666666,139.47915316666666,"撮影日時：2024:11:26 13:02:57
撮影順：29"
DJI_0120.JPG,36.06037758333333,139.47904505555556,"撮影日時：2024:11:26 13:03:05
撮影順：30"
DJI_0121.JPG,36.060207416666664,139.47886019444445,"撮影日時：2024:11:26 13:03:18
撮影順：31"
DJI_0122.JPG,36.060081805555555,139.47902680555555,"撮影日時：2024:11:26 13:03:24
撮影順：32"
DJI_0123.JPG,36.05997466666666,139.47919044444444,"撮影日時：2024:11:26 13:03:31
撮影順：33"
DJI_0124.JPG,36.06061775,139.4787567777778,"撮影日時：2024:11:26 13:04:16
撮影順：34"
DJI_0125.JPG,36.06061808333333,139.47875686111112,"撮影日時：2024:11:26 13:04:19
撮影順：35"
DJI_0126.JPG,36.06057883333333,139.47870747222223,"撮影日時：2024:11:26 13:04:25
撮影順：36"
DJI_0127.JPG,36.060458555555556,139.4773808888889,"撮影日時：2024:11:26 13:04:48
撮影順：37"
DJI_0128.JPG,36.060465666666666,139.47729361111112,"撮影日時：2024:11:26 13:05:04
撮影順：38"
DJI_0129.JPG,36.060465888888885,139.47729297222222,"撮影日時：2024:11:26 13:05:07
撮影順：39"
DJI_0130.JPG,36.06046608333333,139.4772925277778,"撮影日時：2024:11:26 13:05:11
撮影順：40"
DJI_0131.JPG,36.06046608333333,139.47729247222222,"撮影日時：2024:11:26 13:05:13
撮影順：41"
DJI_0132.JPG,36.060466749999996,139.47729269444446,"撮影日時：2024:11:26 13:05:22
撮影順：42"
